recommendation_id,sku,type,current_price,recommended_price,price_change_percent,confidence_score,estimated_revenue_impact,estimated_margin_impact,explanation,top_factors,status,created_at
REC-0001,SKU-010,price_optimization,171.02,175.1,2.4,0.82,-3520.82,2.0,Optimal price point based on demand elasticity and competitive positioning.,"[{""factor"": ""Demand Elasticity"", ""importance"": 40}, {""factor"": ""Competitor Pricing"", ""importance"": 35}, {""factor"": ""Historical Performance"", ""importance"": 25}]",pending,2026-03-02 14:05:59
REC-0002,SKU-042,price_optimization,34.39,35.38,2.9,0.85,-552.53,1.7,Optimal price point based on demand elasticity and competitive positioning.,"[{""factor"": ""Demand Elasticity"", ""importance"": 40}, {""factor"": ""Competitor Pricing"", ""importance"": 35}, {""factor"": ""Historical Performance"", ""importance"": 25}]",pending,2026-03-02 14:05:59
REC-0003,SKU-007,price_optimization,163.79,172.64,5.4,0.9,-10600.69,4.4,Optimal price point based on demand elasticity and competitive positioning.,"[{""factor"": ""Demand Elasticity"", ""importance"": 40}, {""factor"": ""Competitor Pricing"", ""importance"": 35}, {""factor"": ""Historical Performance"", ""importance"": 25}]",pending,2026-03-02 14:05:59
REC-0004,SKU-002,price_optimization,36.51,36.75,0.7,0.83,-88.5,0.4,Optimal price point based on demand elasticity and competitive positioning.,"[{""factor"": ""Demand Elasticity"", ""importance"": 40}, {""factor"": ""Competitor Pricing"", ""importance"": 35}, {""factor"": ""Historical Performance"", ""importance"": 25}]",pending,2026-03-02 14:05:59
REC-0005,SKU-006,price_optimization,89.71,93.59,4.3,0.9,-2315.1,2.7,Optimal price point based on demand elasticity and competitive positioning.,"[{""factor"": ""Demand Elasticity"", ""importance"": 40}, {""factor"": ""Competitor Pricing"", ""importance"": 35}, {""factor"": ""Historical Performance"", ""importance"": 25}]",pending,2026-03-02 14:05:59
REC-0006,SKU-018,price_optimization,143.35,159.6,11.3,0.75,9015.03,8.7,Low inventory (2 days supply). Price increase will optimize margin while managing demand.,"[{""factor"": ""Low Stock Levels"", ""importance"": 40}, {""factor"": ""Strong Recent Demand"", ""importance"": 35}, {""factor"": ""Competitor Pricing"", ""importance"": 25}]",pending,2026-03-02 14:05:59
REC-0007,SKU-040,price_optimization,21.01,21.62,2.9,0.84,-340.81,1.7,Optimal price point based on demand elasticity and competitive positioning.,"[{""factor"": ""Demand Elasticity"", ""importance"": 40}, {""factor"": ""Competitor Pricing"", ""importance"": 35}, {""factor"": ""Historical Performance"", ""importance"": 25}]",pending,2026-03-02 14:05:59
REC-0008,SKU-014,price_optimization,143.87,142.42,-1.0,0.83,889.07,-0.6,Optimal price point based on demand elasticity and competitive positioning.,"[{""factor"": ""Demand Elasticity"", ""importance"": 40}, {""factor"": ""Competitor Pricing"", ""importance"": 35}, {""factor"": ""Historical Performance"", ""importance"": 25}]",pending,2026-03-02 14:05:59
REC-0009,SKU-036,price_optimization,169.92,170.12,0.1,0.86,-211.9,0.1,Optimal price point based on demand elasticity and competitive positioning.,"[{""factor"": ""Demand Elasticity"", ""importance"": 40}, {""factor"": ""Competitor Pricing"", ""importance"": 35}, {""factor"": ""Historical Performance"", ""importance"": 25}]",pending,2026-03-02 14:05:59
REC-0010,SKU-001,price_optimization,14.75,15.38,4.3,0.9,-257.39,3.1,Optimal price point based on demand elasticity and competitive positioning.,"[{""factor"": ""Demand Elasticity"", ""importance"": 40}, {""factor"": ""Competitor Pricing"", ""importance"": 35}, {""factor"": ""Historical Performance"", ""importance"": 25}]",pending,2026-03-02 14:05:59
REC-0011,SKU-047,price_optimization,74.24,81.03,9.2,0.88,-3559.29,6.3,Optimal price point based on demand elasticity and competitive positioning.,"[{""factor"": ""Demand Elasticity"", ""importance"": 40}, {""factor"": ""Competitor Pricing"", ""importance"": 35}, {""factor"": ""Historical Performance"", ""importance"": 25}]",pending,2026-03-02 14:05:59
REC-0012,SKU-049,price_optimization,53.5,53.85,0.6,0.86,-86.88,0.5,Optimal price point based on demand elasticity and competitive positioning.,"[{""factor"": ""Demand Elasticity"", ""importance"": 40}, {""factor"": ""Competitor Pricing"", ""importance"": 35}, {""factor"": ""Historical Performance"", ""importance"": 25}]",pending,2026-03-02 14:05:59
REC-0013,SKU-038,price_optimization,184.51,186.63,1.2,0.88,-741.08,0.7,Optimal price point based on demand elasticity and competitive positioning.,"[{""factor"": ""Demand Elasticity"", ""importance"": 40}, {""factor"": ""Competitor Pricing"", ""importance"": 35}, {""factor"": ""Historical Performance"", ""importance"": 25}]",pending,2026-03-02 14:05:59
REC-0014,SKU-044,clearance,186.49,143.33,-23.1,0.84,63705.02,-18.1,High inventory (98 days supply). Discount will accelerate sell-through and reduce carrying costs.,"[{""factor"": ""Excess Inventory"", ""importance"": 45}, {""factor"": ""Carrying Cost Risk"", ""importance"": 30}, {""factor"": ""Seasonal Demand Pattern"", ""importance"": 25}]",pending,2026-03-02 14:05:59
REC-0015,SKU-025,price_optimization,37.15,39.48,6.3,0.84,-685.13,4.1,Optimal price point based on demand elasticity and competitive positioning.,"[{""factor"": ""Demand Elasticity"", ""importance"": 40}, {""factor"": ""Competitor Pricing"", ""importance"": 35}, {""factor"": ""Historical Performance"", ""importance"": 25}]",pending,2026-03-02 14:05:59
REC-0016,SKU-027,price_optimization,85.89,83.31,-3.0,0.88,581.31,-2.0,Optimal price point based on demand elasticity and competitive positioning.,"[{""factor"": ""Demand Elasticity"", ""importance"": 40}, {""factor"": ""Competitor Pricing"", ""importance"": 35}, {""factor"": ""Historical Performance"", ""importance"": 25}]",pending,2026-03-02 14:05:59
REC-0017,SKU-041,clearance,149.06,113.3,-24.0,0.86,19867.09,-23.7,High inventory (110 days supply). Discount will accelerate sell-through and reduce carrying costs.,"[{""factor"": ""Excess Inventory"", ""importance"": 45}, {""factor"": ""Carrying Cost Risk"", ""importance"": 30}, {""factor"": ""Seasonal Demand Pattern"", ""importance"": 25}]",pending,2026-03-02 14:05:59
REC-0018,SKU-028,price_optimization,103.77,111.11,7.1,0.92,-4827.94,4.3,Optimal price point based on demand elasticity and competitive positioning.,"[{""factor"": ""Demand Elasticity"", ""importance"": 40}, {""factor"": ""Competitor Pricing"", ""importance"": 35}, {""factor"": ""Historical Performance"", ""importance"": 25}]",pending,2026-03-02 14:05:59
REC-0019,SKU-023,price_optimization,50.09,50.54,0.9,0.93,-198.8,0.7,Optimal price point based on demand elasticity and competitive positioning.,"[{""factor"": ""Demand Elasticity"", ""importance"": 40}, {""factor"": ""Competitor Pricing"", ""importance"": 35}, {""factor"": ""Historical Performance"", ""importance"": 25}]",pending,2026-03-02 14:05:59
REC-0020,SKU-035,clearance,106.46,86.05,-19.2,0.85,39895.37,-14.2,High inventory (104 days supply). Discount will accelerate sell-through and reduce carrying costs.,"[{""factor"": ""Excess Inventory"", ""importance"": 45}, {""factor"": ""Carrying Cost Risk"", ""importance"": 30}, {""factor"": ""Seasonal Demand Pattern"", ""importance"": 25}]",pending,2026-03-02 14:05:59
